element_id,module_id,title,complexity
0,0,Element 1,6
1,0,Element 2,1
2,0,Element 3,10
3,0,Element 4,3
4,1,Element 1,6
5,1,Element 2,10
6,2,Element 1,8
7,3,Element 1,4
8,4,Element 1,10
9,5,Element 1,9
10,5,Element 2,9
11,5,Element 3,5
12,6,Element 1,7
13,6,Element 2,7
14,6,Element 3,5
15,6,Element 4,10
16,7,Element 1,4
17,7,Element 2,7
18,7,Element 3,2
19,8,Element 1,5
20,8,Element 2,6
21,9,Element 1,9
22,9,Element 2,9
23,10,Element 1,4
24,11,Element 1,7
25,11,Element 2,1
26,12,Element 1,10
27,12,Element 2,9
28,12,Element 3,8
29,12,Element 4,6
30,13,Element 1,3
31,13,Element 2,10
32,14,Element 1,1
33,14,Element 2,3
34,14,Element 3,2
35,14,Element 4,7
36,15,Element 1,8
37,15,Element 2,6
38,15,Element 3,9
39,15,Element 4,3
40,16,Element 1,8
41,16,Element 2,2
42,16,Element 3,1
43,17,Element 1,7
44,17,Element 2,10
45,18,Element 1,8
46,19,Element 1,8
47,19,Element 2,7
48,19,Element 3,3
49,19,Element 4,8
50,20,Element 1,8
51,21,Element 1,6
52,22,Element 1,4
53,22,Element 2,9
54,23,Element 1,8
55,24,Element 1,9
56,24,Element 2,7
57,24,Element 3,6
58,24,Element 4,1
59,25,Element 1,10
60,25,Element 2,1
61,26,Element 1,5
62,26,Element 2,9
63,27,Element 1,9
64,27,Element 2,9
65,27,Element 3,9
66,27,Element 4,10
67,28,Element 1,5
68,28,Element 2,8
69,28,Element 3,9
70,29,Element 1,7
71,29,Element 2,1
72,29,Element 3,3
73,30,Element 1,8
74,31,Element 1,4
75,31,Element 2,2
76,32,Element 1,7
77,33,Element 1,3
78,33,Element 2,7
79,33,Element 3,7
80,34,Element 1,8
81,34,Element 2,8
82,34,Element 3,8
83,35,Element 1,10
84,35,Element 2,2
85,36,Element 1,8
86,36,Element 2,4
87,37,Element 1,9
88,37,Element 2,6
89,38,Element 1,4
90,38,Element 2,3
91,38,Element 3,4
92,39,Element 1,5
93,39,Element 2,4
94,39,Element 3,10
95,40,Element 1,6
96,41,Element 1,3
97,41,Element 2,1
98,41,Element 3,6
99,42,Element 1,3
100,42,Element 2,6
101,42,Element 3,2
102,42,Element 4,10
103,43,Element 1,10
104,44,Element 1,6
105,45,Element 1,4
106,45,Element 2,6
107,45,Element 3,7
108,45,Element 4,1
109,46,Element 1,8
110,46,Element 2,3
111,46,Element 3,10
112,47,Element 1,5
113,47,Element 2,7
114,47,Element 3,7
115,48,Element 1,4
116,48,Element 2,2
117,49,Element 1,8
